image_path,predicted_score
data/processed/wikimedia_commons/images/IT/ns6/127/File:DSCF7756-Dawn Sunset-Isola Bella-Taormina-Sicilia-Italy-gnuckx CC0 HQ (4277428114).jpeg,5.1328573
"data/processed/wikimedia_commons/images/PL/ns6/12/File:Velická dolina, Slovensko, 2016 (14).jpeg",5.3920236
data/processed/wikimedia_commons/images/IT/ns6/2276/File:Agosto!.jpeg,5.0322533
data/processed/wikimedia_commons/images/MK/ns6/107/File:Skopje-Kanjon reke Matke - panoramio (1).jpeg,5.2356997
data/processed/wikimedia_commons/images/CH/ns6/174/File:From left Punta della Rossa (Rothorn) - Pizzo Crampiolo - Grampielhorn - Valdeserta valley - Piemonte Italy - 2018-10-03.jpeg,5.4291067
data/processed/wikimedia_commons/images/UK/ns6/84/File:Cliffs near Tintagel Head - geograph.org.uk - 2973784.jpeg,5.7905426
data/processed/wikimedia_commons/images/UK/ns6/847/File:Garn Fawr looking north to Strumble Head - geograph.org.uk - 451636.jpeg,5.1048307
"data/processed/wikimedia_commons/images/ES/ns6/4428/File:Cabeza del toro, una roca especial - panoramio.jpeg",5.4433527
data/processed/wikimedia_commons/images/NO/ns6/937/File:Around Flam (Unsplash).jpeg,5.2685404
data/processed/wikimedia_commons/images/UK/ns6/1975/File:Loch Dhu from the dam - geograph.org.uk - 1519836.jpeg,5.0984864
data/processed/wikimedia_commons/images/MK/ns6/119/File:Јелак (05).jpeg,5.060748
data/processed/wikimedia_commons/images/FR/ns6/6847/File:Gigors depuis le Saint-Pancrace.jpeg,5.3445587
data/processed/wikimedia_commons/images/ES/ns6/914/File:Ombria del Carrascal - panoramio (1).jpeg,5.0421467
data/processed/wikimedia_commons/images/CH/ns6/238/File:Jungfraujoch Region - panoramio (8).jpeg,5.8253517
data/processed/wikimedia_commons/images/CH/ns6/31/File:Lacs des Chéserys 04.jpeg,5.976453
data/processed/wikimedia_commons/images/ES/ns6/1382/File:Estellencs i el Galatzó.jpeg,5.1220794
data/processed/wikimedia_commons/images/CH/ns6/502/File:Im Steig zur Gottvaterspitze 01.jpeg,5.004122
data/processed/wikimedia_commons/images/FR/ns6/9414/File:Mont Margeriaz (50984757272).jpeg,5.8396516
data/processed/wikimedia_commons/images/NO/ns6/2676/File:Kvaløya 01.jpeg,5.9513087
data/processed/wikimedia_commons/images/FR/ns6/8921/File:Tignes - mountains 2023.jpeg,5.437281
data/processed/wikimedia_commons/images/TR/ns6/271/File:KÜCÜK TOROS KÖYÜ UFAK DERECİKLERİİ - panoramio.jpeg,5.1327763
data/processed/wikimedia_commons/images/UK/ns6/2237/File:View from Beinn Sgritheall - geograph.org.uk - 637291.jpeg,5.1421876
"data/processed/wikimedia_commons/images/PL/ns6/2048/File:Widok z Lubania wcześnie rano, 20230715 0506 7092.jpeg",5.140929
data/processed/wikimedia_commons/images/ES/ns6/3645/File:Vall del Riu de Sant Josep amb boira al fons vist des del Coll Dret (Restored).jpeg,5.689926
"data/processed/wikimedia_commons/images/CH/ns6/497/File:Panüelerkopf, Mannheimer Hütte, Zustieg Leibersteig Panorama.jpeg",5.239356
data/processed/wikimedia_commons/images/CH/ns6/297/File:Susch - cattle and mountains.jpeg,5.247161
data/processed/wikimedia_commons/images/NO/ns6/939/File:Nærøyfjorden - panoramio (1).jpeg,5.520131
data/processed/wikimedia_commons/images/EE/ns6/235/File:Lääne-Harju vald (50996135707).jpeg,5.0519056
"data/processed/wikimedia_commons/images/UK/ns6/1899/File:Giant's Causeway, Bushmills, United Kingdom (Unsplash UD49wA8vtCQ).jpeg",5.3455663
data/processed/wikimedia_commons/images/UK/ns6/2163/File:Rocky inlet below A'Chroic - geograph.org.uk - 1451167.jpeg,5.0975995
data/processed/wikimedia_commons/images/UK/ns6/1863/File:Coastal Cliffs - geograph.org.uk - 421569.jpeg,5.7083664
data/processed/wikimedia_commons/images/UK/ns6/2148/File:Fladda - geograph.org.uk - 2453758.jpeg,5.012509
